SK_PLAYER,SK_PLAYER_OPPONENT,TOTAL_MATCHES,TOTAL_WINS,TOTAL_LOSSES,DATE_INGESTION
1,1074,9,8,1,2026-08-22
1,1076,7,3,4,2026-08-22
1,1150,1,1,0,2026-08-22
1,1176,4,2,2,2026-08-22
1,1180,1,1,0,2026-08-22
1,1201,1,1,0,2026-08-22
1,1209,2,2,0,2026-08-22
1,1366,1,0,1,2026-08-22
1,139,2,2,0,2026-08-22
1,1441,2,1,1,2026-08-22
1,157,1,0,1,2026-08-22
1,1573,1,1,0,2026-08-22
1,1606,2,0,2,2026-08-22
1,1728,4,4,0,2026-08-22
1,1733,2,1,1,2026-08-22
1,1739,1,1,0,2026-08-22
1,181,3,3,0,2026-08-22
1,1849,1,1,0,2026-08-22
1,1917,3,3,0,2026-08-22
1,1930,2,1,1,2026-08-22
1,1952,1,1,0,2026-08-22
1,1964,3,2,1,2026-08-22
1,2098,1,0,1,2026-08-22
1,2231,2,2,0,2026-08-22
1,2262,2,2,0,2026-08-22
1,2275,1,1,0,2026-08-22
1,2334,2,2,0,2026-08-22
1,237,1,1,0,2026-08-22
1,2381,3,1,2,2026-08-22
1,2485,3,2,1,2026-08-22
1,2531,1,0,1,2026-08-22
1,348,1,1,0,2026-08-22
1,357,1,1,0,2026-08-22
1,452,3,1,2,2026-08-22
1,559,5,4,1,2026-08-22
1,561,1,1,0,2026-08-22
1,659,2,2,0,2026-08-22
1,694,1,1,0,2026-08-22
1,695,1,0,1,2026-08-22
1,752,4,3,1,2026-08-22
1,913,1,1,0,2026-08-22
1,985,5,0,5,2026-08-22
1,988,4,4,0,2026-08-22
10,208,1,0,1,2026-08-22
100,1078,1,0,1,2026-08-22
100,1808,1,0,1,2026-08-22
100,191,2,0,2,2026-08-22
100,2021,1,1,0,2026-08-22
100,741,1,0,1,2026-08-22
100,898,2,1,1,2026-08-22
1000,1041,2,0,2,2026-08-22
1001,1057,1,0,1,2026-08-22
1001,110,4,1,3,2026-08-22
1001,1157,1,0,1,2026-08-22
1001,1264,1,0,1,2026-08-22
1001,1457,1,1,0,2026-08-22
1001,185,3,1,2,2026-08-22
1001,2241,3,1,2,2026-08-22
1001,2245,2,1,1,2026-08-22
1001,225,2,1,1,2026-08-22
1001,2264,1,1,0,2026-08-22
1001,2528,1,0,1,2026-08-22
1001,2557,1,1,0,2026-08-22
1001,256,2,2,0,2026-08-22
1001,299,1,0,1,2026-08-22
1001,441,1,1,0,2026-08-22
1001,507,1,1,0,2026-08-22
1001,578,1,1,0,2026-08-22
1001,66,2,1,1,2026-08-22
1001,685,1,1,0,2026-08-22
1001,736,1,0,1,2026-08-22
1001,745,4,2,2,2026-08-22
1001,891,3,2,1,2026-08-22
1001,922,1,1,0,2026-08-22
1001,95,3,2,1,2026-08-22
1002,107,1,0,1,2026-08-22
1002,1175,3,1,2,2026-08-22
1002,1182,1,0,1,2026-08-22
1002,1196,1,0,1,2026-08-22
1002,1268,1,1,0,2026-08-22
1002,1404,1,0,1,2026-08-22
1002,1529,1,1,0,2026-08-22
1002,1546,2,1,1,2026-08-22
1002,1587,1,1,0,2026-08-22
1002,166,2,1,1,2026-08-22
1002,1686,1,1,0,2026-08-22
1002,1721,1,1,0,2026-08-22
1002,1728,1,1,0,2026-08-22
1002,1859,3,1,2,2026-08-22
1002,2049,1,1,0,2026-08-22
1002,2059,2,2,0,2026-08-22
1002,2094,1,0,1,2026-08-22
1002,2334,1,0,1,2026-08-22
1002,2381,1,0,1,2026-08-22
1002,2410,1,1,0,2026-08-22
1002,2447,1,0,1,2026-08-22
1002,2460,2,2,0,2026-08-22
1002,291,1,1,0,2026-08-22
1002,3516,1,1,0,2026-08-22
1002,372,1,1,0,2026-08-22
1002,450,5,4,1,2026-08-22
1002,526,1,0,1,2026-08-22
1002,605,1,1,0,2026-08-22
1002,659,6,4,2,2026-08-22
1002,783,1,0,1,2026-08-22
1003,1022,1,0,1,2026-08-22
1003,1192,3,0,3,2026-08-22
1003,1202,2,1,1,2026-08-22
1003,1314,4,0,4,2026-08-22
1003,1479,2,2,0,2026-08-22
1003,149,1,1,0,2026-08-22
1003,153,4,2,2,2026-08-22
1003,1604,2,2,0,2026-08-22
1003,1805,1,0,1,2026-08-22
1003,183,1,0,1,2026-08-22
1003,1969,1,1,0,2026-08-22
1003,1992,1,0,1,2026-08-22
1003,2052,1,1,0,2026-08-22
1003,2124,3,3,0,2026-08-22
1003,2178,2,1,1,2026-08-22
1003,2287,1,0,1,2026-08-22
1003,2401,2,0,2,2026-08-22
1003,2541,2,2,0,2026-08-22
1003,299,2,1,1,2026-08-22
1003,43,5,1,4,2026-08-22
1003,751,1,1,0,2026-08-22
1003,757,4,2,2,2026-08-22
1003,764,1,0,1,2026-08-22
1003,862,1,0,1,2026-08-22
1003,902,1,1,0,2026-08-22
1003,927,1,1,0,2026-08-22
1005,1108,4,1,3,2026-08-22
1005,1127,2,0,2,2026-08-22
1005,1175,2,0,2,2026-08-22
1005,1275,1,1,0,2026-08-22
1005,1351,3,0,3,2026-08-22
1005,1404,1,1,0,2026-08-22
1005,1522,4,1,3,2026-08-22
1005,156,5,3,2,2026-08-22
1005,1606,1,1,0,2026-08-22
1005,1610,2,1,1,2026-08-22
1005,166,6,3,3,2026-08-22
1005,1721,1,1,0,2026-08-22
1005,1739,1,0,1,2026-08-22
1005,1779,1,1,0,2026-08-22
1005,1852,2,1,1,2026-08-22
1005,1914,1,1,0,2026-08-22
1005,1930,2,1,1,2026-08-22
1005,1956,1,1,0,2026-08-22
1005,1977,3,1,2,2026-08-22
1005,2070,1,1,0,2026-08-22
1005,21,1,0,1,2026-08-22
1005,2214,3,1,2,2026-08-22
1005,2406,1,1,0,2026-08-22
1005,2441,1,1,0,2026-08-22
1005,2537,1,0,1,2026-08-22
1005,294,1,1,0,2026-08-22
1005,420,5,3,2,2026-08-22
1005,427,2,2,0,2026-08-22
1005,4772,1,1,0,2026-08-22
1005,489,1,1,0,2026-08-22
1005,606,6,3,3,2026-08-22
1005,740,2,0,2,2026-08-22
1005,783,2,1,1,2026-08-22
1005,869,1,1,0,2026-08-22
1005,88,1,1,0,2026-08-22
1006,2381,1,0,1,2026-08-22
1006,2490,1,0,1,2026-08-22
1006,916,1,0,1,2026-08-22
1007,1229,2,0,2,2026-08-22
1007,3582,1,1,0,2026-08-22
1007,3908,1,1,0,2026-08-22
1008,1001,1,0,1,2026-08-22
1008,1011,2,2,0,2026-08-22
1008,1032,3,1,2,2026-08-22
1008,1079,2,2,0,2026-08-22
1008,110,3,1,2,2026-08-22
1008,117,4,3,1,2026-08-22
1008,1198,1,0,1,2026-08-22
1008,1445,1,1,0,2026-08-22
1008,1507,1,1,0,2026-08-22
1008,1576,1,0,1,2026-08-22
1008,1620,3,0,3,2026-08-22
1008,1700,1,0,1,2026-08-22
1008,1860,1,1,0,2026-08-22
1008,1871,2,2,0,2026-08-22
1008,1883,3,1,2,2026-08-22
1008,1886,1,1,0,2026-08-22
1008,2060,2,2,0,2026-08-22
1008,2224,1,1,0,2026-08-22
1008,225,3,2,1,2026-08-22
1008,2264,2,1,1,2026-08-22
1008,2305,5,3,2,2026-08-22
1008,2318,2,1,1,2026-08-22
1008,2325,4,4,0,2026-08-22
1008,256,2,1,1,2026-08-22
1008,303,2,0,2,2026-08-22
1008,311,1,1,0,2026-08-22
1008,367,4,0,4,2026-08-22
1008,43,3,3,0,2026-08-22
1008,442,2,2,0,2026-08-22
1008,4688,1,0,1,2026-08-22
1008,470,1,1,0,2026-08-22
1008,578,6,5,1,2026-08-22
1008,607,1,0,1,2026-08-22
1008,623,3,2,1,2026-08-22
1008,707,1,0,1,2026-08-22
1008,774,3,3,0,2026-08-22
1009,1191,1,0,1,2026-08-22
1009,1545,1,0,1,2026-08-22
1009,1704,1,0,1,2026-08-22
1009,2479,2,0,2,2026-08-22
1009,609,1,1,0,2026-08-22
1009,844,1,0,1,2026-08-22
101,109,1,1,0,2026-08-22
101,1194,1,0,1,2026-08-22
101,1366,1,1,0,2026-08-22
101,1506,1,0,1,2026-08-22
101,154,1,1,0,2026-08-22
101,175,1,0,1,2026-08-22
101,1810,1,1,0,2026-08-22
101,1891,1,1,0,2026-08-22
101,2003,1,0,1,2026-08-22
101,2012,1,1,0,2026-08-22
101,2140,1,1,0,2026-08-22
101,2313,2,0,2,2026-08-22
101,2414,1,0,1,2026-08-22
101,42,1,1,0,2026-08-22
101,482,2,2,0,2026-08-22
101,619,1,0,1,2026-08-22
101,924,2,0,2,2026-08-22
1010,937,1,0,1,2026-08-22
1011,1008,2,0,2,2026-08-22
1011,1344,1,0,1,2026-08-22
1011,1356,1,0,1,2026-08-22
1011,1501,1,1,0,2026-08-22
1011,2041,1,0,1,2026-08-22
1011,2047,1,0,1,2026-08-22
1011,2405,1,0,1,2026-08-22
1011,361,2,0,2,2026-08-22
1011,43,2,0,2,2026-08-22
1011,488,1,1,0,2026-08-22
1011,85,1,1,0,2026-08-22
1011,91,3,0,3,2026-08-22
1012,1128,2,0,2,2026-08-22
1012,114,1,0,1,2026-08-22
1012,1240,1,0,1,2026-08-22
1012,1451,3,0,3,2026-08-22
1012,1549,1,1,0,2026-08-22
1012,1883,2,1,1,2026-08-22
1012,1940,1,1,0,2026-08-22
1012,2060,1,0,1,2026-08-22
1012,2200,2,1,1,2026-08-22
1012,2226,1,1,0,2026-08-22
1012,2266,2,0,2,2026-08-22
1012,2356,1,1,0,2026-08-22
1012,246,2,0,2,2026-08-22
1012,488,2,1,1,2026-08-22
1012,580,1,1,0,2026-08-22
1012,834,1,1,0,2026-08-22
1012,95,1,0,1,2026-08-22
1013,1489,1,0,1,2026-08-22
1013,2136,1,0,1,2026-08-22
1013,221,1,1,0,2026-08-22
1013,2405,1,1,0,2026-08-22
1015,1229,1,1,0,2026-08-22
1015,1567,1,0,1,2026-08-22
1015,159,1,0,1,2026-08-22
1015,1917,1,0,1,2026-08-22
1015,1921,1,0,1,2026-08-22
1015,1954,1,0,1,2026-08-22
1015,686,2,1,1,2026-08-22
1016,1325,1,1,0,2026-08-22
1016,1428,2,0,2,2026-08-22
1016,1451,1,1,0,2026-08-22
1016,1620,1,1,0,2026-08-22
1016,17,1,0,1,2026-08-22
1016,2119,2,0,2,2026-08-22
1016,2401,3,1,2,2026-08-22
1016,2530,1,0,1,2026-08-22
1016,299,1,1,0,2026-08-22
1016,632,2,2,0,2026-08-22
1016,757,2,1,1,2026-08-22
1016,925,1,0,1,2026-08-22
1017,1009,1,1,0,2026-08-22
1017,1022,1,0,1,2026-08-22
1017,1116,3,1,2,2026-08-22
1017,1146,1,1,0,2026-08-22
1017,1350,1,1,0,2026-08-22
1017,1373,3,1,2,2026-08-22
1017,1393,2,1,1,2026-08-22
1017,140,3,0,3,2026-08-22
1017,1517,1,0,1,2026-08-22
1017,153,1,0,1,2026-08-22
1017,1686,1,1,0,2026-08-22
1017,1718,1,1,0,2026-08-22
1017,1808,1,0,1,2026-08-22
1017,191,11,1,10,2026-08-22
1017,1990,1,0,1,2026-08-22
1017,2232,1,0,1,2026-08-22
1017,2414,4,1,3,2026-08-22
1017,275,1,1,0,2026-08-22
1017,544,3,2,1,2026-08-22
1017,560,1,0,1,2026-08-22
1017,619,2,1,1,2026-08-22
1017,632,1,1,0,2026-08-22
1017,741,1,0,1,2026-08-22
1017,76,2,1,1,2026-08-22
1018,1077,1,1,0,2026-08-22
1018,11,1,0,1,2026-08-22
1018,1198,1,1,0,2026-08-22
1018,217,1,0,1,2026-08-22
1018,2327,1,0,1,2026-08-22
1018,246,1,0,1,2026-08-22
1018,785,1,1,0,2026-08-22
1019,1471,1,1,0,2026-08-22
1019,1811,1,0,1,2026-08-22
102,1,1,0,1,2026-08-22
102,882,1,0,1,2026-08-22
1022,1034,1,0,1,2026-08-22
1022,1232,2,1,1,2026-08-22
1022,1313,3,0,3,2026-08-22
1022,1366,1,0,1,2026-08-22
1022,1506,3,1,2,2026-08-22
1022,1512,1,0,1,2026-08-22
1022,153,10,6,4,2026-08-22
1022,1537,2,1,1,2026-08-22
1022,1545,2,0,2,2026-08-22
1022,1550,1,1,0,2026-08-22
1022,1552,5,1,4,2026-08-22
1022,1668,1,1,0,2026-08-22
1022,1704,3,1,2,2026-08-22
1022,1717,1,1,0,2026-08-22
1022,1748,4,1,3,2026-08-22
1022,1761,1,1,0,2026-08-22
1022,1809,2,2,0,2026-08-22
1022,1856,2,2,0,2026-08-22
1022,2035,1,1,0,2026-08-22
1022,2283,1,0,1,2026-08-22
1022,2323,2,1,1,2026-08-22
1022,2411,2,0,2,2026-08-22
1022,501,1,0,1,2026-08-22
1022,52,1,0,1,2026-08-22
1022,778,1,1,0,2026-08-22
1022,933,3,2,1,2026-08-22
1022,934,1,0,1,2026-08-22
1023,42,1,0,1,2026-08-22
1024,1159,1,1,0,2026-08-22
1024,147,1,0,1,2026-08-22
1024,1553,1,0,1,2026-08-22
1024,1747,1,1,0,2026-08-22
1024,1754,1,0,1,2026-08-22
1024,1808,2,0,2,2026-08-22
1024,1880,2,1,1,2026-08-22
1024,191,3,0,3,2026-08-22
1024,1926,2,0,2,2026-08-22
1024,1944,1,1,0,2026-08-22
1024,1992,1,1,0,2026-08-22
1024,2003,2,1,1,2026-08-22
1024,2009,1,0,1,2026-08-22
1024,2016,2,1,1,2026-08-22
1024,2100,1,1,0,2026-08-22
1024,2353,1,0,1,2026-08-22
1024,2411,3,2,1,2026-08-22
1024,2414,2,0,2,2026-08-22
1024,2531,1,0,1,2026-08-22
1024,275,1,1,0,2026-08-22
1024,325,1,1,0,2026-08-22
1024,41,1,0,1,2026-08-22
1024,482,1,0,1,2026-08-22
1024,625,1,0,1,2026-08-22
1024,834,1,1,0,2026-08-22
1024,899,2,0,2,2026-08-22
1024,935,3,1,2,2026-08-22
1027,1324,1,1,0,2026-08-22
1027,1356,1,0,1,2026-08-22
1027,1454,1,0,1,2026-08-22
1027,1530,2,2,0,2026-08-22
1027,17,1,1,0,2026-08-22
1027,1856,1,1,0,2026-08-22
1027,1959,1,0,1,2026-08-22
1027,2178,1,0,1,2026-08-22
1027,2218,1,0,1,2026-08-22
1027,2287,1,1,0,2026-08-22
1027,2331,3,1,2,2026-08-22
1027,2414,1,0,1,2026-08-22
1027,3572,1,0,1,2026-08-22
1028,1071,10,6,4,2026-08-22
1028,1179,2,2,0,2026-08-22
1028,1226,1,1,0,2026-08-22
1028,1261,1,0,1,2026-08-22
1028,1277,5,4,1,2026-08-22
1028,1381,5,3,2,2026-08-22
1028,1741,2,2,0,2026-08-22
1028,1823,8,6,2,2026-08-22
1028,1862,8,7,1,2026-08-22
1028,1881,1,1,0,2026-08-22
1028,1894,2,1,1,2026-08-22
1028,2042,1,1,0,2026-08-22
1028,2091,3,2,1,2026-08-22
1028,2139,1,0,1,2026-08-22
1028,2145,2,2,0,2026-08-22
1028,2322,1,0,1,2026-08-22
1028,2337,1,1,0,2026-08-22
1028,234,8,5,3,2026-08-22
1028,2371,3,2,1,2026-08-22
1028,238,6,6,0,2026-08-22
1028,2391,21,17,4,2026-08-22
1028,244,3,3,0,2026-08-22
1028,2457,3,2,1,2026-08-22
1028,2463,2,2,0,2026-08-22
1028,2468,3,3,0,2026-08-22
1028,261,3,2,1,2026-08-22
1028,267,6,3,3,2026-08-22
1028,2715,1,1,0,2026-08-22
1028,2818,1,1,0,2026-08-22
1028,284,3,2,1,2026-08-22
1028,2876,2,2,0,2026-08-22
1028,2985,3,3,0,2026-08-22
1028,3037,1,1,0,2026-08-22
1028,305,1,1,0,2026-08-22
1028,344,1,1,0,2026-08-22
1028,3559,1,1,0,2026-08-22
1028,3634,1,1,0,2026-08-22
1028,3758,1,1,0,2026-08-22
1028,3802,2,2,0,2026-08-22
1028,3848,1,1,0,2026-08-22
1028,4043,2,2,0,2026-08-22
1028,4076,2,2,0,2026-08-22
1028,4123,3,2,1,2026-08-22
1028,4149,2,2,0,2026-08-22
1028,4278,3,3,0,2026-08-22
1028,4360,1,1,0,2026-08-22
1028,4763,1,1,0,2026-08-22
1028,4801,1,0,1,2026-08-22
1028,4864,1,1,0,2026-08-22
1028,4921,1,1,0,2026-08-22
1028,5000,1,1,0,2026-08-22
1028,5051,2,2,0,2026-08-22
1028,5544,1,1,0,2026-08-22
1028,5569,4,4,0,2026-08-22
1028,5647,1,1,0,2026-08-22
1028,5817,1,1,0,2026-08-22
1028,5838,1,1,0,2026-08-22
1028,5865,1,1,0,2026-08-22
1028,597,11,8,3,2026-08-22
1028,780,2,1,1,2026-08-22
1028,802,5,5,0,2026-08-22
1028,805,3,3,0,2026-08-22
1028,956,2,1,1,2026-08-22
1028,988,3,0,3,2026-08-22
1029,1509,1,0,1,2026-08-22
1029,1552,1,1,0,2026-08-22
1029,1919,1,0,1,2026-08-22
1029,2414,1,0,1,2026-08-22
1029,523,1,1,0,2026-08-22
1029,741,1,1,0,2026-08-22
103,479,1,0,1,2026-08-22
103,745,1,0,1,2026-08-22
1030,1202,1,1,0,2026-08-22
1030,1333,1,0,1,2026-08-22
1030,1356,1,0,1,2026-08-22
1030,1371,4,0,4,2026-08-22
1030,1539,1,0,1,2026-08-22
1030,17,1,0,1,2026-08-22
1030,189,2,0,2,2026-08-22
1030,1926,1,1,0,2026-08-22
1030,2003,1,0,1,2026-08-22
1030,2079,1,0,1,2026-08-22
1030,2148,1,1,0,2026-08-22
1030,2218,4,0,4,2026-08-22
1030,2245,2,0,2,2026-08-22
1030,274,1,0,1,2026-08-22
1030,544,1,1,0,2026-08-22
1030,545,1,0,1,2026-08-22
1030,642,1,1,0,2026-08-22
1032,1057,1,0,1,2026-08-22
1032,1079,1,0,1,2026-08-22
1032,1128,2,1,1,2026-08-22
1032,1159,1,1,0,2026-08-22
1032,1312,1,0,1,2026-08-22
1032,1410,2,2,0,2026-08-22
1032,1451,1,0,1,2026-08-22
1032,1507,1,0,1,2026-08-22
1032,17,3,2,1,2026-08-22
1032,1826,1,0,1,2026-08-22
1032,1883,3,1,2,2026-08-22
1032,2054,1,0,1,2026-08-22
1032,2287,1,1,0,2026-08-22
1032,2325,1,0,1,2026-08-22
1032,2369,1,1,0,2026-08-22
1032,2557,1,0,1,2026-08-22
1032,37,1,1,0,2026-08-22
1032,383,1,0,1,2026-08-22
1032,479,1,0,1,2026-08-22
1032,578,4,1,3,2026-08-22
1032,674,1,1,0,2026-08-22
1032,757,1,1,0,2026-08-22
1032,927,1,0,1,2026-08-22
1032,928,2,1,1,2026-08-22
1034,112,1,0,1,2026-08-22
1034,1754,1,0,1,2026-08-22
1034,183,1,0,1,2026-08-22
1034,184,1,0,1,2026-08-22
1034,1990,2,0,2,2026-08-22
1034,2109,1,0,1,2026-08-22
1034,2178,1,0,1,2026-08-22
1034,714,1,0,1,2026-08-22
1034,736,1,1,0,2026-08-22
1034,808,1,1,0,2026-08-22
1035,21,1,0,1,2026-08-22
1035,377,1,0,1,2026-08-22
1035,558,1,0,1,2026-08-22
1036,1740,1,0,1,2026-08-22
1036,1893,1,1,0,2026-08-22
1036,1902,1,1,0,2026-08-22
1036,216,5,2,3,2026-08-22
1036,2244,2,1,1,2026-08-22
1036,2391,4,1,3,2026-08-22
1036,2468,2,1,1,2026-08-22
1036,273,3,0,3,2026-08-22
1036,2796,3,1,2,2026-08-22
1036,2822,2,2,0,2026-08-22
1036,284,2,2,0,2026-08-22
1036,2934,1,1,0,2026-08-22
1036,2962,1,1,0,2026-08-22
1036,3069,1,1,0,2026-08-22
1036,3258,1,1,0,2026-08-22
1036,331,1,1,0,2026-08-22
1036,3550,6,2,4,2026-08-22
1036,3640,2,2,0,2026-08-22
1036,3760,1,1,0,2026-08-22
1036,3802,4,3,1,2026-08-22
1036,3827,1,1,0,2026-08-22
1036,3927,1,1,0,2026-08-22
1036,4047,1,1,0,2026-08-22
1036,4092,1,1,0,2026-08-22
1036,4235,1,1,0,2026-08-22
1036,4523,1,1,0,2026-08-22
1036,4693,6,2,4,2026-08-22
1036,4783,1,1,0,2026-08-22
1036,4879,1,1,0,2026-08-22
1036,5116,1,1,0,2026-08-22
1036,5357,1,1,0,2026-08-22
1036,5569,3,1,2,2026-08-22
1036,5838,2,1,1,2026-08-22
1036,594,2,2,0,2026-08-22
1036,961,3,2,1,2026-08-22
1037,1067,1,0,1,2026-08-22
1037,1105,1,0,1,2026-08-22
1037,1146,1,1,0,2026-08-22
1037,1394,1,1,0,2026-08-22
1037,1491,1,0,1,2026-08-22
1037,1668,2,1,1,2026-08-22
1037,1719,1,0,1,2026-08-22
1037,1811,1,0,1,2026-08-22
1037,2116,1,0,1,2026-08-22
1037,2411,1,0,1,2026-08-22
1037,2531,1,0,1,2026-08-22
1037,436,1,0,1,2026-08-22
1037,558,1,0,1,2026-08-22
1037,5644,1,1,0,2026-08-22
1037,584,1,0,1,2026-08-22
1037,725,2,0,2,2026-08-22
1037,78,1,0,1,2026-08-22
1037,890,1,0,1,2026-08-22
1038,2558,1,0,1,2026-08-22
1041,1022,1,1,0,2026-08-22
1041,1030,3,1,2,2026-08-22
1041,1045,4,2,2,2026-08-22
1041,1088,1,1,0,2026-08-22
1041,1112,2,0,2,2026-08-22
1041,123,1,1,0,2026-08-22
1041,1304,1,1,0,2026-08-22
1041,1313,2,0,2,2026-08-22
1041,1371,1,0,1,2026-08-22
1041,183,2,2,0,2026-08-22
1041,2060,2,0,2,2026-08-22
1041,2109,1,0,1,2026-08-22
1041,2466,1,1,0,2026-08-22
1041,2474,1,0,1,2026-08-22
1041,2482,1,1,0,2026-08-22
1041,593,1,1,0,2026-08-22
1041,642,1,1,0,2026-08-22
1041,658,1,1,0,2026-08-22
1041,716,1,1,0,2026-08-22
1041,721,2,2,0,2026-08-22
1041,757,4,1,3,2026-08-22
1041,818,1,0,1,2026-08-22
1041,842,1,0,1,2026-08-22
1042,2203,1,0,1,2026-08-22
1043,1204,1,1,0,2026-08-22
1043,152,1,0,1,2026-08-22
1043,1524,1,1,0,2026-08-22
1043,2050,1,0,1,2026-08-22
1043,2490,1,0,1,2026-08-22
1043,2525,1,0,1,2026-08-22
1043,3065,1,1,0,2026-08-22
1043,4864,1,1,0,2026-08-22
1043,754,2,2,0,2026-08-22
1044,1005,2,2,0,2026-08-22
1044,1028,1,1,0,2026-08-22
1044,1115,1,1,0,2026-08-22
1044,1120,2,2,0,2026-08-22
1044,1132,1,1,0,2026-08-22
1044,1156,1,1,0,2026-08-22
1044,1176,4,4,0,2026-08-22
1044,1182,6,6,0,2026-08-22
1044,1184,34,22,12,2026-08-22
1044,1224,1,1,0,2026-08-22
1044,1229,4,3,1,2026-08-22
1044,1233,1,1,0,2026-08-22
1044,1255,5,2,3,2026-08-22
1044,1256,2,2,0,2026-08-22
1044,1289,1,1,0,2026-08-22
1044,1301,1,1,0,2026-08-22
1044,137,6,6,0,2026-08-22
1044,139,12,11,1,2026-08-22
1044,1404,1,1,0,2026-08-22
1044,1418,4,4,0,2026-08-22
1044,1490,6,4,2,2026-08-22
1044,1491,1,1,0,2026-08-22
1044,1510,1,0,1,2026-08-22
1044,1522,3,2,1,2026-08-22
1044,1536,1,1,0,2026-08-22
1044,156,3,2,1,2026-08-22
1044,1594,1,1,0,2026-08-22
1044,1597,1,1,0,2026-08-22
1044,1645,19,13,6,2026-08-22
1044,1646,4,4,0,2026-08-22
1044,1692,1,1,0,2026-08-22
1044,1743,1,1,0,2026-08-22
1044,1789,2,2,0,2026-08-22
1044,1852,1,1,0,2026-08-22
1044,1859,5,3,2,2026-08-22
1044,1893,1,1,0,2026-08-22
1044,1898,1,1,0,2026-08-22
1044,1908,2,2,0,2026-08-22
1044,1924,6,5,1,2026-08-22
1044,1946,2,2,0,2026-08-22
1044,1984,1,1,0,2026-08-22
1044,2049,1,1,0,2026-08-22
1044,2117,1,1,0,2026-08-22
1044,2142,5,3,2,2026-08-22
1044,2173,2,2,0,2026-08-22
1044,2214,2,1,1,2026-08-22
1044,2231,3,3,0,2026-08-22
1044,2238,4,4,0,2026-08-22
1044,2337,6,6,0,2026-08-22
1044,2339,1,0,1,2026-08-22
1044,2351,1,1,0,2026-08-22
1044,2362,18,18,0,2026-08-22
1044,2386,3,3,0,2026-08-22
1044,2392,1,1,0,2026-08-22
1044,261,3,2,1,2026-08-22
1044,288,2,2,0,2026-08-22
1044,327,1,1,0,2026-08-22
1044,345,2,2,0,2026-08-22
1044,380,1,1,0,2026-08-22
1044,3933,1,1,0,2026-08-22
1044,4046,1,1,0,2026-08-22
1044,414,1,1,0,2026-08-22
1044,432,1,1,0,2026-08-22
1044,4339,1,1,0,2026-08-22
1044,443,2,1,1,2026-08-22
1044,4461,1,1,0,2026-08-22
1044,561,1,1,0,2026-08-22
1044,5638,1,1,0,2026-08-22
1044,5866,1,1,0,2026-08-22
1044,654,2,2,0,2026-08-22
1044,692,1,1,0,2026-08-22
1044,694,4,4,0,2026-08-22
1044,71,2,2,0,2026-08-22
1044,752,1,1,0,2026-08-22
1044,78,1,1,0,2026-08-22
1044,879,2,2,0,2026-08-22
1044,896,2,2,0,2026-08-22
1044,910,2,1,1,2026-08-22
1044,951,4,3,1,2026-08-22
1044,99,2,2,0,2026-08-22
1045,1027,1,1,0,2026-08-22
1045,1085,1,0,1,2026-08-22
1045,1116,2,2,0,2026-08-22
1045,112,1,1,0,2026-08-22
1045,1127,1,0,1,2026-08-22
1045,1161,1,1,0,2026-08-22
1045,1193,6,3,3,2026-08-22
1045,1194,2,1,1,2026-08-22
1045,1338,2,2,0,2026-08-22
1045,1356,2,2,0,2026-08-22
1045,1492,4,1,3,2026-08-22
1045,150,1,1,0,2026-08-22
1045,1506,4,2,2,2026-08-22
1045,1581,1,1,0,2026-08-22
1045,1684,1,0,1,2026-08-22
1045,1717,1,0,1,2026-08-22
1045,1730,1,0,1,2026-08-22
1045,1748,8,7,1,2026-08-22
1045,1868,2,1,1,2026-08-22
1045,1963,1,1,0,2026-08-22
1045,2017,1,1,0,2026-08-22
1045,2021,2,1,1,2026-08-22
1045,209,11,10,1,2026-08-22
1045,2211,1,0,1,2026-08-22
1045,2260,1,0,1,2026-08-22
1045,2272,1,1,0,2026-08-22
1045,2414,6,5,1,2026-08-22
1045,2459,1,1,0,2026-08-22
1045,2466,5,4,1,2026-08-22
1045,2474,4,2,2,2026-08-22
1045,2517,4,2,2,2026-08-22
1045,2555,1,0,1,2026-08-22
1045,40,1,1,0,2026-08-22
1045,4518,1,1,0,2026-08-22
1045,52,3,1,2,2026-08-22
1045,544,6,1,5,2026-08-22
1045,574,1,1,0,2026-08-22
1045,733,1,1,0,2026-08-22
1045,776,5,5,0,2026-08-22
1045,87,2,0,2,2026-08-22
1045,934,5,2,3,2026-08-22
1045,935,2,2,0,2026-08-22
1046,1471,1,1,0,2026-08-22
1046,1617,1,1,0,2026-08-22
1047,1112,1,0,1,2026-08-22
1047,1191,1,0,1,2026-08-22
1047,1272,2,0,2,2026-08-22
1047,1366,1,1,0,2026-08-22
1047,1509,1,1,0,2026-08-22
1047,1538,1,0,1,2026-08-22
1047,203,1,1,0,2026-08-22
1047,2283,1,1,0,2026-08-22
1047,2466,2,0,2,2026-08-22
1047,510,1,1,0,2026-08-22
1047,544,2,1,1,2026-08-22
1047,5673,1,0,1,2026-08-22
1047,574,1,1,0,2026-08-22
1047,666,1,0,1,2026-08-22
1049,642,1,1,0,2026-08-22
1050,1102,1,1,0,2026-08-22
1051,1351,1,0,1,2026-08-22
1051,1809,1,0,1,2026-08-22
1051,1891,1,0,1,2026-08-22
1051,2237,2,1,1,2026-08-22
1051,2254,1,0,1,2026-08-22
1051,2346,1,0,1,2026-08-22
1051,2537,1,1,0,2026-08-22
1051,275,1,0,1,2026-08-22
1051,294,1,0,1,2026-08-22
1051,40,1,0,1,2026-08-22
